,date,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265
0,2022-03-01,00:00:00,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,43,0,0,0,0,768,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,210,0,0,0,0,225,0,0,0,632,80,0,0,0,0,0,0,348,88,0,360,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,642,0,0,0,0,0,678,1368,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8580,0,0,0,0,822,7038,0,700,987,426,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,158,0,0,2576,1620,1304,1148,0,664,0,0,0,2040,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,2790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,418,0,1477,0,0,0,215,0,0,0,0,0,0,0,0,0,0,452,0,0,2061,3680,693,232,699,1404,0,236,3081,714,2629,0,0,0,0,0,0,492,0,0,2988,0,0,0,0,0,0,0,0,0,0,0,261,524,1315,3168,0
1,2022-03-01,00:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,42,0,0,0,0,0,912,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,280,0,0,0,74,75,0,0,0,474,0,0,0,0,0,0,0,348,88,0,360,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,428,0,0,0,0,112,339,912,0,116,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,4620,0,0,0,0,685,3312,0,700,423,1278,286,720,0,0,0,592,0,0,302,0,0,0,0,0,0,0,0,0,2576,1458,815,1476,0,166,0,0,0,1020,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374,4140,1155,232,1165,2574,0,472,1185,714,1434,0,0,0,0,0,0,246,0,0,1992,0,0,0,0,0,255,0,0,0,0,0,0,262,1315,1056,0
2,2022-03-01,00:30:00,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,612,0,70,0,0,0,74,0,0,0,0,711,0,0,0,0,0,0,0,0,88,0,450,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,535,0,0,0,0,0,0,684,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6336,0,0,0,0,685,690,0,420,282,994,429,144,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1127,486,815,820,0,0,0,0,0,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,3220,231,232,466,1404,0,472,474,1666,717,0,0,0,0,0,0,492,0,0,4233,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,792,0
3,2022-03-01,00:45:00,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,720,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,748,0,0,0,0,0,0,0,0,0,0,632,0,0,82,0,0,0,0,174,0,0,630,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,535,0,0,0,0,0,226,684,0,0,0,0,0,0,0,0,0,0,125,0,127,0,0,0,0,3960,0,0,0,0,822,414,0,280,846,710,143,144,0,0,0,740,0,0,0,0,0,0,0,0,0,316,0,0,966,486,489,984,0,0,0,0,0,1020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,209,0,633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,1145,1610,231,232,233,1638,0,708,1185,1428,1195,0,0,0,0,0,0,492,0,0,3486,0,0,0,0,0,0,0,0,0,0,0,0,262,789,264,0
4,2022-03-01,01:00:00,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,43,0,0,0,0,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,0,210,0,0,0,148,75,0,0,0,474,80,0,0,0,0,0,0,174,0,0,450,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,428,0,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3960,0,0,0,0,274,1242,0,0,0,852,143,144,145,0,0,444,0,0,302,152,0,0,0,0,0,158,0,0,1610,972,489,164,0,166,0,0,0,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458,2070,924,232,233,702,0,236,0,476,0,0,0,0,0,0,0,492,0,0,1494,0,0,0,0,0,0,0,0,0,0,0,0,0,789,792,0
5,2022-03-01,01:15:00,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,432,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,70,0,0,0,0,75,0,0,0,711,0,0,0,0,0,0,0,174,0,0,180,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,214,0,0,0,0,0,0,570,0,116,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,4224,0,0,0,0,137,966,0,140,705,852,286,288,0,0,0,296,0,0,0,0,0,0,0,0,0,158,0,0,483,972,815,328,0,166,0,0,0,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,224,0,0,0,0,1832,1610,462,0,233,468,0,472,711,476,239,0,0,0,0,0,0,492,0,0,2988,0,0,0,0,0,0,0,0,0,0,0,261,0,526,264,0
6,2022-03-01,01:30:00,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,288,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,74,0,0,0,0,158,0,0,82,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,214,0,0,0,0,0,452,684,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,2244,0,0,0,0,137,0,0,0,141,994,143,0,0,0,0,296,0,0,0,0,0,0,0,0,0,316,0,0,322,1296,489,328,0,0,0,0,0,1190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0,0,458,460,693,0,233,468,0,0,711,0,239,0,0,0,0,0,0,738,0,0,2490,0,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0
7,2022-03-01,01:45:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,75,0,0,0,474,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,535,0,0,0,0,0,113,456,0,116,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,924,0,0,0,0,274,0,0,280,705,568,0,144,0,0,0,296,0,0,0,152,0,0,0,0,0,0,0,0,161,162,163,164,0,0,0,168,0,170,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,229,1380,231,0,466,468,0,0,0,0,0,0,0,0,0,0,0,246,0,0,996,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0
8,2022-03-01,02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,114,0,116,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,1584,0,0,0,0,685,0,0,280,0,142,0,0,0,0,0,296,0,0,151,0,0,0,0,0,0,0,159,0,161,324,163,820,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229,460,462,0,0,936,0,0,0,0,239,0,0,0,0,0,0,738,0,0,2241,0,0,0,0,0,0,0,0,0,0,0,0,0,1052,0,0
9,2022-03-01,02:15:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,0,0,0,0,0,74,0,0,0,0,395,0,0,0,0,0,0,0,87,88,0,270,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,1188,0,0,0,0,411,0,0,140,0,284,143,0,0,0,0,444,0,0,0,0,0,0,0,0,0,0,159,0,161,324,652,164,0,0,0,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452,0,0,229,0,231,232,466,234,0,236,0,238,0,0,0,0,0,0,0,246,0,0,1245,0,0,0,0,0,0,0,0,0,0,0,0,262,789,0,0
